Loan_ID;Gender;Married;Dependents;Education;Self_Employed;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Credit_History;Property_Area;Loan_Status;Predicted_Loan_Status;TotalIncome;loan_amount_prediction;Applicant_First_Name;Image
LP001430;Female;No;0.0;Graduate;No;4166.0;0.0;44.0;360.0;1.0;Semiurban;Y;Y;4166.0;65.88;Emily;C:/Users/mutem/Downloads/LoanApp/Female\0 (1022).jpg
LP001669;Female;No;0.0;Not Graduate;No;1907.0;2365.0;120.0;360.0;1.0;Urban;Y;Y;4272.0;111.3291420911528;Sandra;C:/Users/mutem/Downloads/LoanApp/Female\0 (1017).jpg
LP001836;Female;No;2.0;Graduate;No;3427.0;0.0;138.0;360.0;1.0;Urban;N;Y;3427.0;133.42133333333334;Jessica;C:/Users/mutem/Downloads/LoanApp/Female\0 (1002).jpg
LP001164;Female;No;0.0;Graduate;No;4230.0;0.0;112.0;360.0;1.0;Semiurban;N;Y;4230.0;115.13227882037532;Donna;C:/Users/mutem/Downloads/LoanApp/Female\0 (1020).jpg
LP001871;Female;No;0.0;Graduate;No;3357.0;0.0;120.0;360.0;1.0;Rural;Y;Y;3357.0;121.73788999888998;Margaret;C:/Users/mutem/Downloads/LoanApp/Female\0 (1009).jpg
LP002840;Female;No;0.0;Graduate;No;2378.0;0.0;110.0;360.0;1.0;Urban;N;Y;2378.0;56.49333333333334;Amanda;C:/Users/mutem/Downloads/LoanApp/Female\0 (1025).jpg
LP001431;Female;No;0.0;Graduate;No;2137.0;1041.0;137.0;360.0;0.0;Semiurban;Y;N;3178.0;113.29;Barbara;C:/Users/mutem/Downloads/LoanApp/Female\0 (100).jpg
LP001994;Female;No;0.0;Graduate;No;2400.0;1863.0;104.0;360.0;0.0;Urban;N;N;4263.0;115.53;Ashley;C:/Users/mutem/Downloads/LoanApp/Female\0 (1018).jpg
LP002277;Female;No;0.0;Graduate;No;3180.0;0.0;71.0;360.0;0.0;Urban;N;N;3180.0;73.08;Mary;C:/Users/mutem/Downloads/LoanApp/Female\0 (1).jpeg
LP002753;Female;No;1.0;Graduate;No;3652.0;0.0;95.0;360.0;1.0;Semiurban;Y;Y;3652.0;111.06;Kimberly;C:/Users/mutem/Downloads/LoanApp/Female\0 (1019).jpg
LP002743;Female;No;0.0;Graduate;No;2138.0;0.0;99.0;360.0;0.0;Semiurban;N;N;2138.0;64.42;Susan;C:/Users/mutem/Downloads/LoanApp/Female\0 (1000).jpg
LP001387;Female;Yes;0.0;Graduate;No;2929.0;2333.0;139.0;360.0;1.0;Semiurban;Y;Y;5262.0;132.56;Lisa;C:/Users/mutem/Downloads/LoanApp/Female\0 (1012).jpg
LP001977;Male;Yes;1.0;Graduate;No;1625.0;1803.0;96.0;360.0;1.0;Urban;Y;Y;3428.0;92.97;Nicholas;C:/Users/mutem/Downloads/LoanApp/Males\image23.jpeg
LP002348;Male;Yes;0.0;Graduate;No;5829.0;0.0;138.0;360.0;1.0;Rural;Y;Y;5829.0;140.76666666666668;Richard;C:/Users/mutem/Downloads/LoanApp/Males\1 (1097).jpg
LP002453;Male;No;0.0;Graduate;Yes;3357.0;0.0;84.0;360.0;1.0;Semiurban;Y;Y;3357.0;121.73788999888998;Brandon;C:/Users/mutem/Downloads/LoanApp/Males\1 (1035).jpg
LP002893;Male;No;0.0;Graduate;No;1836.0;1041.0;90.0;360.0;1.0;Urban;N;Y;2877.0;88.95;Gerald;C:/Users/mutem/Downloads/LoanApp/Males\image11.jpeg
LP002637;Male;No;0.0;Not Graduate;No;3598.0;1287.0;100.0;360.0;1.0;Rural;N;Y;4885.0;98.47828418230564;Aaron;C:/Users/mutem/Downloads/LoanApp/Males\1 (1066).jpg
LP002181;Male;No;0.0;Not Graduate;No;6216.0;0.0;133.0;360.0;1.0;Rural;N;Y;6216.0;131.52;Jeremy;C:/Users/mutem/Downloads/LoanApp/Males\1 (1004).jpg
LP001482;Male;Yes;0.0;Graduate;Yes;3459.0;0.0;110.0;360.0;1.0;Semiurban;Y;Y;3459.0;131.47133333333332;James;C:/Users/mutem/Downloads/LoanApp/Males\image10.jpeg
LP002732;Male;No;0.0;Not Graduate;No;3563.4227642276423;2042.0;126.0;360.0;1.0;Rural;Y;Y;5605.422764227642;124.69;Nathan;C:/Users/mutem/Downloads/LoanApp/Males\1 (1025).jpg
LP001798;Male;Yes;2.0;Graduate;No;5819.0;1041.0;120.0;360.0;1.0;Rural;Y;Y;6860.0;119.0;Michael;C:/Users/mutem/Downloads/LoanApp/Males\1 (101).jpg
LP002536;Male;Yes;0.0;Not Graduate;No;3095.0;0.0;113.0;360.0;1.0;Rural;Y;Y;3095.0;97.94;Harold;C:/Users/mutem/Downloads/LoanApp/Males\1 (1054).jpg
LP002347;Male;Yes;0.0;Graduate;No;3246.0;1417.0;138.0;360.0;1.0;Semiurban;Y;Y;4663.0;130.16;Arthur;C:/Users/mutem/Downloads/LoanApp/Males\image4.jpeg
LP002226;Male;Yes;0.0;Graduate;No;3333.0;2500.0;128.0;360.0;1.0;Semiurban;Y;Y;5833.0;118.14;Stephen;C:/Users/mutem/Downloads/LoanApp/Males\1 (1127).jpg
LP001024;Male;Yes;2.0;Graduate;No;3200.0;700.0;70.0;360.0;1.0;Urban;Y;Y;3900.0;94.9;Alexander;C:/Users/mutem/Downloads/LoanApp/Males\1 (1109).jpg
LP002434;Male;Yes;2.0;Not Graduate;No;4652.0;0.0;110.0;360.0;1.0;Rural;Y;Y;4652.0;114.3;Keith;C:/Users/mutem/Downloads/LoanApp/Males\image21.jpeg
LP001405;Male;Yes;1.0;Graduate;No;2214.0;1398.0;85.0;360.0;0.8376068376068376;Urban;Y;Y;3612.0;90.62;Thomas;C:/Users/mutem/Downloads/LoanApp/Males\image22.jpeg
LP002368;Male;Yes;2.0;Graduate;No;5935.0;0.0;133.0;360.0;1.0;Semiurban;Y;Y;5935.0;134.27;Tyler;C:/Users/mutem/Downloads/LoanApp/Males\1 (1002).jpg
LP002836;Male;No;0.0;Graduate;No;3333.0;0.0;70.0;360.0;1.0;Urban;Y;Y;3333.0;82.47888888888889;Jordan;C:/Users/mutem/Downloads/LoanApp/Males\1 (1124).jpg
LP001136;Male;Yes;0.0;Not Graduate;Yes;4695.0;0.0;96.0;360.0;1.0;Urban;Y;Y;4695.0;96.75;Jeffrey;C:/Users/mutem/Downloads/LoanApp/Males\image3.jpeg
LP001370;Male;No;0.0;Not Graduate;No;3357.0;0.0;120.0;360.0;1.0;Rural;N;Y;3357.0;121.73788999888998;Benjamin;C:/Users/mutem/Downloads/LoanApp/Males\1 (1119).jpg
LP001206;Male;Yes;0.0;Graduate;No;3029.0;0.0;99.0;360.0;1.0;Urban;Y;Y;3029.0;70.67914209115281;Scott;C:/Users/mutem/Downloads/LoanApp/Males\1 (1039).jpg
LP001750;Male;Yes;0.0;Graduate;No;6250.0;0.0;128.0;360.0;1.0;Semiurban;Y;Y;6250.0;135.54;Gary;C:/Users/mutem/Downloads/LoanApp/Males\1 (1068).jpg
LP002418;Male;No;0.0;Not Graduate;No;4707.0;1993.0;148.0;360.0;1.0;Semiurban;Y;Y;6700.0;134.33;Jason;C:/Users/mutem/Downloads/LoanApp/Males\1 (1053).jpg
LP001630;Male;No;0.0;Not Graduate;No;2333.0;1451.0;102.0;360.0;0.0;Urban;N;N;3784.0;108.2;Jose;C:/Users/mutem/Downloads/LoanApp/Males\1 (1010).jpg
LP002500;Male;Yes;0.0;Not Graduate;No;2947.0;1664.0;70.0;360.0;0.0;Urban;N;N;4611.0;105.77;Lawrence;C:/Users/mutem/Downloads/LoanApp/Males\1 (1063).jpg
LP002036;Male;Yes;0.0;Graduate;No;2058.0;2134.0;88.0;360.0;0.8376068376068376;Urban;Y;Y;4192.0;104.34;William;C:/Users/mutem/Downloads/LoanApp/Males\1 (1113).jpg
LP001280;Male;Yes;2.0;Not Graduate;No;3333.0;2000.0;99.0;360.0;0.8376068376068376;Semiurban;Y;Y;5333.0;109.07;Anthony;C:/Users/mutem/Downloads/LoanApp/Males\image12.jpeg
LP001473;Male;No;0.0;Graduate;No;2014.0;1929.0;104.91420911528152;360.0;1.0;Urban;Y;Y;3943.0;99.82;Brian;C:/Users/mutem/Downloads/LoanApp/Males\1 (1114).jpg
LP002272;Male;Yes;2.0;Graduate;No;3276.0;484.0;135.0;360.0;0.8376068376068376;Semiurban;Y;Y;3760.0;95.45;Juan;C:/Users/mutem/Downloads/LoanApp/Males\1 (1098).jpg
LP001398;Male;No;0.0;Graduate;No;5050.0;0.0;118.0;360.0;1.0;Semiurban;Y;Y;5050.0;127.54916666666666;Dylan;C:/Users/mutem/Downloads/LoanApp/Males\1 (1036).jpg
LP002585;Male;Yes;0.0;Graduate;No;3597.0;2157.0;119.0;360.0;0.0;Rural;N;N;5754.0;118.95;Willie;C:/Users/mutem/Downloads/LoanApp/Males\1 (1107).jpg
LP001616;Male;Yes;1.0;Graduate;No;3750.0;0.0;116.0;360.0;1.0;Semiurban;Y;Y;3750.0;106.67549999999996;George;C:/Users/mutem/Downloads/LoanApp/Males\1 (1016).jpg
LP002332;Male;Yes;0.0;Not Graduate;No;2253.0;2033.0;110.0;360.0;1.0;Rural;Y;Y;4286.0;113.4048525469169;Andrew;C:/Users/mutem/Downloads/LoanApp/Males\image2.jpeg
LP001097;Male;No;1.0;Graduate;Yes;4692.0;0.0;106.0;360.0;1.0;Rural;N;Y;4692.0;118.57;Carl;C:/Users/mutem/Downloads/LoanApp/Males\image6.jpeg
LP001754;Male;Yes;0.0;Not Graduate;Yes;4735.0;0.0;138.0;360.0;1.0;Urban;N;Y;4735.0;122.6;Christopher;C:/Users/mutem/Downloads/LoanApp/Males\1 (1000).jpg
LP001008;Male;No;0.0;Graduate;No;6000.0;0.0;141.0;360.0;1.0;Urban;Y;Y;6000.0;135.52;Eric;C:/Users/mutem/Downloads/LoanApp/Males\1 (1011).jpg
LP002098;Male;No;0.0;Graduate;No;2935.0;0.0;98.0;360.0;1.0;Semiurban;Y;Y;2935.0;87.9436997319035;Walter;C:/Users/mutem/Downloads/LoanApp/Males\1 (1012).jpg
LP001532;Male;Yes;2.0;Not Graduate;No;2281.0;0.0;113.0;360.0;1.0;Rural;N;Y;2281.0;61.2925;Paul;C:/Users/mutem/Downloads/LoanApp/Males\1 (1070).jpg
LP001641;Male;Yes;1.0;Graduate;Yes;2178.0;0.0;66.0;360.0;0.0;Rural;N;N;2178.0;64.34;Ronald;C:/Users/mutem/Downloads/LoanApp/Males\1 (1125).jpg
LP001634;Male;No;0.0;Graduate;No;1916.0;1041.0;67.0;360.0;0.8376068376068376;Rural;N;Y;2957.0;79.88;Christian;C:/Users/mutem/Downloads/LoanApp/Males\1 (1091).jpg
LP002837;Male;Yes;0.0;Graduate;No;3400.0;2500.0;123.0;360.0;0.0;Rural;N;N;5900.0;114.14;Peter;C:/Users/mutem/Downloads/LoanApp/Males\image25.jpeg
LP001384;Male;Yes;0.0;Not Graduate;No;2071.0;754.0;94.0;360.0;1.0;Semiurban;Y;Y;2825.0;70.85;Gabriel;C:/Users/mutem/Downloads/LoanApp/Males\1 (1074).jpg
LP002714;Male;No;1.0;Not Graduate;No;2679.0;1302.0;94.0;360.0;1.0;Semiurban;Y;Y;3981.0;91.63;Sean;C:/Users/mutem/Downloads/LoanApp/Males\image13.jpeg
LP001264;Male;Yes;0.0;Not Graduate;Yes;3333.0;2166.0;130.0;360.0;0.8376068376068376;Semiurban;Y;Y;5499.0;115.85;Charles;C:/Users/mutem/Downloads/LoanApp/Males\1 (1126).jpg
LP001915;Male;Yes;2.0;Graduate;No;2301.0;985.7999877999998;78.0;360.0;1.0;Urban;Y;Y;3286.7999878;89.46;Ethan;C:/Users/mutem/Downloads/LoanApp/Males\1 (1077).jpg
LP001050;Male;Yes;2.0;Not Graduate;No;3365.0;1917.0;112.0;360.0;0.0;Rural;N;N;5282.0;114.68;Terry;C:/Users/mutem/Downloads/LoanApp/Males\image27.jpeg
LP001813;Male;No;0.0;Graduate;Yes;6050.0;4333.0;120.0;360.0;1.0;Urban;N;Y;10383.0;114.62;Kyle;C:/Users/mutem/Downloads/LoanApp/Males\1 (1072).jpg
LP002925;Male;No;0.0;Graduate;No;3563.4227642276423;0.0;94.0;360.0;1.0;Semiurban;Y;Y;3563.4227642276423;91.50029761904764;Ryan;C:/Users/mutem/Downloads/LoanApp/Males\1 (1087).jpg
LP001722;Male;Yes;0.0;Graduate;No;3357.0;1800.0;135.0;360.0;1.0;Rural;N;Y;5157.0;125.95685042448616;Raymond;C:/Users/mutem/Downloads/LoanApp/Males\1 (1030).jpg
LP001904;Male;Yes;0.0;Graduate;No;3103.0;1300.0;80.0;360.0;1.0;Urban;Y;Y;4403.0;110.81;Bruce;C:/Users/mutem/Downloads/LoanApp/Males\image20.jpeg
LP001743;Male;Yes;2.0;Graduate;No;4009.0;1717.0;116.0;360.0;1.0;Semiurban;Y;Y;5726.0;122.83571045576406;Kenneth;C:/Users/mutem/Downloads/LoanApp/Males\1 (10).jpg
LP001319;Male;Yes;2.0;Not Graduate;No;3273.0;1820.0;81.0;360.0;1.0;Urban;Y;Y;5093.0;130.48;Jesse;C:/Users/mutem/Downloads/LoanApp/Males\1 (1024).jpg
LP001073;Male;Yes;2.0;Not Graduate;No;4226.0;1040.0;104.91420911528152;360.0;1.0;Urban;Y;Y;5266.0;121.81742627345844;Edward;C:/Users/mutem/Downloads/LoanApp/Males\1 (1094).jpg
LP001699;Male;No;0.0;Graduate;No;2479.0;0.0;59.0;360.0;1.0;Urban;Y;Y;2479.0;65.51700000000001;Kevin;C:/Users/mutem/Downloads/LoanApp/Males\image9.jpeg
LP001003;Male;Yes;1.0;Graduate;No;4583.0;1508.0;128.0;360.0;1.0;Rural;N;Y;6091.0;120.48333333333332;John;C:/Users/mutem/Downloads/LoanApp/Males\1 (1043).jpg
LP001195;Male;Yes;0.0;Graduate;No;2132.0;1591.0;96.0;360.0;1.0;Semiurban;Y;Y;3723.0;95.55;Adam;C:/Users/mutem/Downloads/LoanApp/Males\1 (1071).jpg
LP002265;Male;Yes;2.0;Not Graduate;No;1993.0;1625.0;113.0;360.0;1.0;Semiurban;Y;Y;3618.0;92.45;Justin;C:/Users/mutem/Downloads/LoanApp/Males\1 (1044).jpg
LP001528;Male;No;0.0;Graduate;No;6277.0;0.0;118.0;360.0;0.0;Rural;N;N;6277.0;120.25;Roger;C:/Users/mutem/Downloads/LoanApp/Males\image14.jpeg
LP001841;Male;No;0.0;Not Graduate;Yes;2583.0;2167.0;104.0;360.0;1.0;Rural;Y;Y;4750.0;123.07;Joshua;C:/Users/mutem/Downloads/LoanApp/Males\1 (1086).jpg
LP002868;Male;Yes;2.0;Graduate;No;3159.0;461.0;108.0;360.0;1.0;Urban;Y;Y;3620.0;84.39;Joseph;C:/Users/mutem/Downloads/LoanApp/Males\1 (10).png
LP001914;Male;Yes;0.0;Graduate;No;3927.0;800.0;112.0;360.0;1.0;Semiurban;Y;Y;4727.0;110.95;Jack;C:/Users/mutem/Downloads/LoanApp/Males\1 (1038).jpg
LP001032;Male;No;0.0;Graduate;No;4950.0;0.0;125.0;360.0;1.0;Urban;Y;Y;4950.0;128.68;Frank;C:/Users/mutem/Downloads/LoanApp/Males\1 (110).jpg
LP001131;Male;Yes;0.0;Graduate;No;3941.0;2336.0;134.0;360.0;1.0;Semiurban;Y;Y;6277.0;119.62;Jerry;C:/Users/mutem/Downloads/LoanApp/Males\1 (1046).jpg
LP001259;Male;Yes;1.0;Graduate;Yes;1000.0;3022.0;110.0;360.0;1.0;Urban;N;Y;4022.0;112.67;Dennis;C:/Users/mutem/Downloads/LoanApp/Males\1 (1).png
LP001205;Male;Yes;0.0;Graduate;No;2500.0;3796.0;120.0;360.0;1.0;Urban;Y;Y;6296.0;118.89828418230564;Patrick;C:/Users/mutem/Downloads/LoanApp/Males\1 (1037).jpg
LP002916;Male;Yes;0.0;Graduate;No;2297.0;1522.0;104.0;360.0;1.0;Urban;Y;Y;3819.0;104.87;Samuel;C:/Users/mutem/Downloads/LoanApp/Males\1 (1013).jpg
LP002928;Male;Yes;0.0;Graduate;No;3000.0;3416.0;56.0;360.0;1.0;Semiurban;Y;Y;6416.0;115.82;Douglas;C:/Users/mutem/Downloads/LoanApp/Males\1 (1).jpeg
LP002494;Male;No;0.0;Graduate;No;6000.0;0.0;140.0;360.0;1.0;Rural;Y;Y;6000.0;135.52;Jacob;C:/Users/mutem/Downloads/LoanApp/Males\1 (1093).jpg
LP002872;Male;Yes;0.0;Graduate;No;3087.0;2210.0;104.91420911528152;360.0;0.0;Semiurban;N;N;5297.0;122.03;Robert;C:/Users/mutem/Downloads/LoanApp/Males\1 (1017).jpg
LP002097;Male;No;1.0;Graduate;No;4384.0;1793.0;117.0;360.0;1.0;Urban;Y;Y;6177.0;126.94;Noah;C:/Users/mutem/Downloads/LoanApp/Males\image7.jpeg
LP001138;Male;Yes;1.0;Graduate;No;5649.0;0.0;44.0;360.0;1.0;Urban;Y;Y;5649.0;128.5206666666667;Larry;C:/Users/mutem/Downloads/LoanApp/Males\image16.jpeg
LP001877;Male;Yes;2.0;Graduate;No;4708.0;1387.0;150.0;360.0;1.0;Semiurban;Y;Y;6095.0;110.22;Albert;C:/Users/mutem/Downloads/LoanApp/Males\image15.jpeg
LP002266;Male;Yes;2.0;Graduate;No;3100.0;1400.0;113.0;360.0;1.0;Urban;Y;Y;4500.0;114.86;Donald;C:/Users/mutem/Downloads/LoanApp/Males\image1.jpeg
LP001658;Male;No;0.0;Graduate;No;3858.0;0.0;76.0;360.0;1.0;Semiurban;Y;Y;3858.0;82.78;Gregory;C:/Users/mutem/Downloads/LoanApp/Males\image19.jpeg
LP001086;Male;No;0.0;Not Graduate;No;1442.0;0.0;35.0;360.0;1.0;Urban;N;Y;1442.0;46.93;David;C:/Users/mutem/Downloads/LoanApp/Males\image24.jpeg
LP002974;Male;Yes;0.0;Graduate;No;3232.0;1267.0052892249037;108.0;360.0;1.0;Rural;Y;Y;4499.005289224904;113.37;Austin;C:/Users/mutem/Downloads/LoanApp/Males\1 (1116).jpg
LP002263;Male;Yes;0.0;Graduate;No;2583.0;1267.0052892249037;120.0;360.0;0.8376068376068376;Urban;Y;Y;3850.005289224904;112.19;Steven;C:/Users/mutem/Downloads/LoanApp/Males\image26.jpeg
LP001578;Male;Yes;0.0;Graduate;No;2439.0;3333.0;129.0;360.0;1.0;Rural;Y;Y;5772.0;127.68828418230564;Bryan;C:/Users/mutem/Downloads/LoanApp/Males\image17.jpeg
LP002250;Male;Yes;0.0;Graduate;No;3563.4227642276423;0.0;125.0;360.0;1.0;Rural;Y;Y;3563.4227642276423;91.50029761904764;Henry;C:/Users/mutem/Downloads/LoanApp/Males\1 (1092).jpg
LP001029;Male;No;0.0;Graduate;No;1853.0;2840.0;114.0;360.0;1.0;Rural;N;Y;4693.0;113.04;Daniel;C:/Users/mutem/Downloads/LoanApp/Males\1 (1032).jpg
LP002224;Male;No;0.0;Graduate;No;3069.0;0.0;71.0;360.0;1.0;Urban;N;Y;3069.0;83.84914209115283;Mark;C:/Users/mutem/Downloads/LoanApp/Males\1 (11).png
LP001109;Male;Yes;0.0;Graduate;No;1828.0;1330.0;100.0;360.0;0.0;Urban;N;N;3158.0;94.64;Logan;C:/Users/mutem/Downloads/LoanApp/Males\1 (108).jpg
LP001068;Male;Yes;0.0;Graduate;No;2799.0;2253.0;122.0;360.0;1.0;Semiurban;Y;Y;5052.0;124.82;Joe;C:/Users/mutem/Downloads/LoanApp/Males\image8.jpeg
LP002768;Male;No;0.0;Not Graduate;No;3358.0;0.0;80.0;360.0;1.0;Semiurban;N;Y;3358.0;121.73788999888998;Alan;C:/Users/mutem/Downloads/LoanApp/Males\1 (1089).jpg
LP002821;Male;No;0.0;Not Graduate;Yes;5800.0;0.0;132.0;360.0;1.0;Semiurban;Y;Y;5800.0;139.42166666666668;Timothy;C:/Users/mutem/Downloads/LoanApp/Males\1 (1033).jpg
LP001643;Male;Yes;0.0;Graduate;No;2383.0;2138.0;58.0;360.0;0.8376068376068376;Rural;Y;Y;4521.0;111.67;Jonathan;C:/Users/mutem/Downloads/LoanApp/Males\image5.jpeg
LP001586;Male;Yes;0.0;Graduate;No;3522.0;0.0;81.0;360.0;1.0;Rural;N;Y;3522.0;81.83944444444444;Matthew;C:/Users/mutem/Downloads/LoanApp/Males\image18.jpeg
LP002692;Male;Yes;0.0;Graduate;Yes;5677.0;1424.0;100.0;360.0;1.0;Rural;Y;Y;7101.0;104.6;Zachary;C:/Users/mutem/Downloads/LoanApp/Males\1 (1).jpg
LP001047;Male;Yes;0.0;Not Graduate;No;2600.0;1911.0;116.0;360.0;0.0;Semiurban;N;N;4511.0;114.67;Billy;C:/Users/mutem/Downloads/LoanApp/Males\1 (1018).jpg
